name,category,sub_category,description,selling_price,discount_percentage,features,image_link
Slim Fit Stretch Jeans,Men,Trousers,Classic indigo jeans with 2% elastane for comfort and mobility,3990,15%,"Stretch, Comfort, Classic",https://imgs.search.brave.com/UlWWfV-xK3kh7Ifb0sRf7s_5UJpB3uPGVJQGlsADTDw/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzFMS0VkY3hzT0wu/anBn
Floral Wrap Dress,Women,Dresses,V-neck wrap dress with tie waist and midi length,4590,20%,"Floral, Feminine, Adjustable",https://imgs.search.brave.com/luWkWVaRogiVeok4GNnyCL6mnCEuSpiYaxRsR9pUVU0/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/ODFDOXVHQjE1dkwu/anBn
Leather Crossbody Bag,Women,Bags,Smooth leather crossbody with gold-tone hardware and inner zip pocket,5990,10%,"Luxe, Compact, Secure",https://imgs.search.brave.com/6I5sS24VnARhRjfW4x-uFnaAa0UOM2etXRzyjHlzyYE/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/cGFya2VyY2xheS5j/b20vY2RuL3Nob3Av/ZmlsZXMvQURBV0Ff/REJfMDcuanBnP2Ny/b3A9Y2VudGVyJmhl/aWdodD0xMDI2JnY9/MTcyMjI3NTYwMyZ3/aWR0aD0xMDI2
Organic Cotton T-shirt,Men,Shirts,Basic crew neck tee made from 100% organic cotton,1290,0%,"Eco-friendly, Soft, Versatile",https://imgs.search.brave.com/7iSersQk1IY3PyeAQBFCovziQaiRbOGEF5ByOzcMofI/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly95ZXNm/cmllbmRzLmNvL2Nk/bi9zaG9wL2ZpbGVz/L2V0aGljYWwtc3Vz/dGFpbmFibGUtb3Jn/YW5pYy1jb3R0b24t/ZmFpcnRyYWRlLXVu/aXNleC10LXNoaXJ0/LXN0b3JteS13ZWF0/aGVyLWdyZXktNS5q/cGc_Y3JvcD1jZW50/ZXImaGVpZ2h0PTIw/NDcmdj0xNzQ1NTkx/NDYyJndpZHRoPTEz/NjU
Cashmere Blend Scarf,Women,Accessories,Oversized winter scarf in heathered grey (30% cashmere),3490,25%,"Warm, Luxurious, Neutral",https://imgs.search.brave.com/2kj_Ce7ygWhL-clbVZR0rlCjBI-CUxGMKfhnBbKM7Lg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZXMuc2VsZnJpZGdl/cy5jb20vaXMvaW1h/Z2Uvc2VsZnJpZGdl/cy9SMDQzODY2MThf/SEFSVkVTVF9BTFQw/MT9kZWZhdWx0SW1h/Z2U9UjA0Mzg2NjE4/X0hBUlZFU1RfTSYk/UExQX0FMTCQ
Velcro Sneakers,Kids,Shoes,Lightweight sneakers with reflective details for safety,1990,5%,"Practical, Safe, Durable",https://imgs.search.brave.com/2Lllnp4O9xJ0lqinehXmnNHVo_qkyWVqQTGj4PUmA1w/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tZWRp/YS5pc3RvY2twaG90/by5jb20vaWQvMTcz/ODI4NzY3L3Bob3Rv/L3dhbGtpbmctc2hv/ZXMuanBnP3M9NjEy/eDYxMiZ3PTAmaz0y/MCZjPWhOeUVBbHhK/WXlyd1VhRHNSRTZQ/ZzNBSDRiZHhWd2FV/WnF6UXpkQkhFMVU9
Tailored Wool Blazer,Men,Outerwear,Single-breasted blazer with peaked lapels (55% wool),8990,15%,"Sophisticated, Structured",https://imgs.search.brave.com/mUjbtzH7Gwt-d_BH-9uwPtgvTvcxKm9Y-fp43OOhl24/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZS5tZW5zd2Vhcmhv/dXNlLmNvbS9pcy9p/bWFnZS9UTVcvVE1X/XzNYTjFfMjNfSk9F/X0pPU0VQSF9BQkJP/VURfU1VJVF9KQUNL/RVRTX1RBTl9DSEFN/QlJBWV9NQUlOP2lt/UG9saWN5PXBncC1z/bQ
Satin Slip Midi Dress,Women,Dresses,Bias-cut dress with adjustable spaghetti straps,4990,30%,"Elegant, Night-out, Flattering",https://imgs.search.brave.com/z1MuRvVOVMFtAHATFPnnPBLUz7m33xd2J6TSm3PfDlw/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9lbmRs/ZXNzcm9zZS5jb20v/Y2RuL3Nob3AvZmls/ZXMvSE4xMzI5RF9C/TEFDS18wMDEuanBn/P2Nyb3A9Y2VudGVy/JmhlaWdodD0xOTIw/JnY9MTc0ODg5ODk0/MCZ3aWR0aD0xMjgw
Linen Blend Shirt,Women,Tops,Relaxed fit shirt with French placket and rolled sleeve option,3790,10%,"Breathable, Casual, Wrinkle-free",https://imgs.search.brave.com/D4Inhc1RlQzEiUmS24do-QlBEvXPrKlxi4MHEnsLi_Y/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZS5obS5jb20vYXNz/ZXRzL2htLzRmLzA0/LzRmMDRhMmE3YjA4/ZTJiODBmN2JhODJl/MTk5OWY1NDA3Y2Rh/NGYwMmYuanBnP2lt/d2lkdGg9MjE2MA
RFID-Blocking Wallet,Men,Accessories,Slim leather wallet with protected card slots,2790,0%,"Secure, Minimalist, Organized",https://imgs.search.brave.com/YtcCgdD50-3Y0Jin4IHXe0MtQs1cuce-jjN-BOUthlg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9oaXBz/LmhlYXJzdGFwcHMu/Y29tL3ZhZGVyLXBy/b2QuczMuYW1hem9u/YXdzLmNvbS8xNzIy/MjY0NDczLWJlbGxy/b3ktYXBleC1zbGlt/LXNsZS02NmE3YWI2/Yzc2ZmRkLmpwZz9j/cm9wPTAuNjc5eHc6/MC45MDV4aDswLjMx/MXh3LDAuMDgwM3ho/JnJlc2l6ZT05ODA6/Kg
High-Waisted Leggings,Women,Trousers,Opaque workout leggings with wide elastic waistband,2290,20%,"Supportive, Sweat-wicking",https://imgs.search.brave.com/TugXT1ZwxSPVYd67a5qULOwPZ87EB7URtD8B9hIDBCQ/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NTFCNUxMQi1DWEwu/anBn
Quilted Backpack,Women,Bags,Water-resistant nylon backpack with laptop compartment,4290,15%,"Practical, Spacious, Trendy",https://imgs.search.brave.com/KKx7ohneByUsfyRMq7NxssB0LQ8a-6Zgupv9dpOYoaM/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pNS53/YWxtYXJ0aW1hZ2Vz/LmNvbS9zZW8vaGli/ZWFyLVB1ZmZlci1C/YWNrcGFjay1TbWFs/bC1RdWlsdGVkLUxp/Z2h0d2VpZ2h0LVRy/YXZlbC1CYWNrcGFj/ay1mb3ItV29tZW4t/Tnlsb24tR3ltLUJh/Zy1jYW4tQ2Fycnkt/TGFwdG9wLXdpdGgt/Q29tcGFydG1lbnQt/RGFyay1HcmV5X2Nl/MDU3NjAwLTIzNTMt/NGQ4ZS1hOGQ2LTMw/ZDg0N2Y3MTJjMS4z/ZWY0ZWZmYjUyNDIy/ZjY5NGM2YmQwODM5/NWExNWNiMi5qcGVn/P29kbkhlaWdodD01/ODAmb2RuV2lkdGg9/NTgwJm9kbkJnPUZG/RkZGRg
Denim Jacket,Men,Outerwear,Washed denim jacket with corduroy collar lining,5490,10%,"Classic, Layering piece",https://imgs.search.brave.com/eE_S3q8IlTSADem-U0Cg5L6kWcWs9YqHb-1428HC24Y/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzF5ZTdNUDIrTUwu/anBn
Ribbed Knit Sweater,Women,Tops,Fitted turtleneck sweater in heathered burgundy,3290,25%,"Warm, Stretchy, Figure-hugging",https://imgs.search.brave.com/63S8aHcujUen_UGpY1i7BCjgas-X1uqwYbrMXxiQuac/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzErZHdpT3ZYakwu/anBn
Suede Chelsea Boots,Women,Shoes,Elastic-sided ankle boots with stacked heel,6990,5%,"Stylish, Comfortable, Weatherproof",https://imgs.search.brave.com/s7Wwgny7hrBFZrfzGql_yDmpe5ggqNhBU3U2TO-MnTI/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Y2hhcmxlc3R5cndo/aXR0LmNvbS9kdy9p/bWFnZS92Mi9BQVdK/X1BSRC9vbi9kZW1h/bmR3YXJlLnN0YXRp/Yy8tL1NpdGVzLWN0/c2hpcnRzLW1hc3Rl/ci9kZWZhdWx0L2R3/YjFjZDhmZTgvaGkt/cmVzL1NIVzAyNDVD/SENfU0lERS5qcGc_/c3c9OTYwJnNoPTEy/MDA
Printed Swim Shorts,Men,Trousers,Quick-dry swim trunks with internal mesh lining,1790,30%,"Beachwear, Lightweight",https://imgs.search.brave.com/4BeVMXJGrCvnYhYYJcLKfVTTclqlAJ3IaG5IxnqXfVg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly94Y2Ru/Lm5leHQuY28udWsv/Q29tbW9uL0l0ZW1z/L0RlZmF1bHQvRGVm/YXVsdC9JdGVtSW1h/Z2VzLzNfNFJhdGlv/L1NlYXJjaC9MZ2Uv/QUc5MDQ3LmpwZz9p/bT1SZXNpemUsd2lk/dGg9NDUw
Structured Tote Bag,Women,Bags,Oversized work tote with reinforced base and detachable pouch,4790,0%,"Professional, Roomy, Organized",https://imgs.search.brave.com/8mttsMWRQo1JEF1YTlO3OaLZnET0BQ6QafPVPpCgsCU/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9jZG4u/c2hvcGlmeS5jb20v/cy9maWxlcy8xLzA0/MjYvMDM3MC84NTY4/L2ZpbGVzL3F1aW5j/ZS1nZW51aW5lLWxl/YXRoZXItc2hvdWxk/ZXItYmFnX2pwZy5w/bmc_dj0xNzMyNjU4/MjY4
Loose Fit Chinos,Men,Trousers,Cotton-blend pants with belt loops and straight leg,3490,15%,"Casual, Comfortable, Versatile",https://imgs.search.brave.com/McqN5BYK5d_5KbZxK0TBG4VlGck1p-uiYulzrw2kRJs/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZS5obS5jb20vYXNz/ZXRzL2htL2Q3LzNh/L2Q3M2FhZmJiNGVl/NmUyODFjMTg3OWI0/ODhjZmEyMmFlY2Y5/ODA2ZWEuanBnP2lt/d2lkdGg9MjE2MA
Seamless Sports Bra,Women,Tops,High-support bra with racerback design,1590,20%,"Breathable, Chafe-free",https://imgs.search.brave.com/CTsmaTrBfbOVjwG22s4XsTqION90f2qsrb0KZpOf17U/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9jZG4u/c2hvcGlmeS5jb20v/cy9maWxlcy8xLzAx/NTYvNjE0Ni9maWxl/cy9WSVRBTE5FV0JS/QUdTU3Ryb25nR3Jl/eS1NYXJsQjFDNUct/R0NTVi0xMzMxX2U3/NjMxMGVhLWQwMjct/NDU0ZC05MTljLTc2/NWZmOWY1NzEyMF8z/ODQweC5qcGc_dj0x/NzI2NDkzNDQ1
Leather Belt,Men,Accessories,Genuine leather belt with brushed nickel buckle,2290,10%,"Classic, Durable, Adjustable",https://imgs.search.brave.com/X1itHUV1LSX2g5kVfklH34YnV0yXZ-BoA0yn7bx6LJg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9jZG4x/MS5iaWdjb21tZXJj/ZS5jb20vcy05cGIw/ZnUzaS9pbWFnZXMv/c3RlbmNpbC81MDB4/NjU5L3Byb2R1Y3Rz/LzIzODAvMTA3Mzkv/YnJvd25CZWx0X18w/Mjc1NS4xNjc3MDEx/Mjg2LmpwZz9jPTI
A-Line Mini Skirt,Women,Skirts,Wool-blend skirt with lining and hidden back zip,2790,25%,"Office-appropriate, Tailored",https://imgs.search.brave.com/yeVKUQAoDNRDcPCN5lWKz4jiuItZmpjNFiZw9PJF8WA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NjFVWEJPZ3luTEwu/anBn
Waterproof Hiking Boots,Men,Shoes,Gore-tex boots with Vibram outsole,8990,5%,"Rugged, Supportive, All-weather",https://imgs.search.brave.com/uDndj0POLWGgkWI84zxmQHvjQItVVnokz0DOGCNAH2U/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Ym9vdGJhcm4uY29t/L2R3L2ltYWdlL3Yy/L0JDQ0ZfUFJEL29u/L2RlbWFuZHdhcmUu/c3RhdGljLy0vU2l0/ZXMtbWFzdGVyLXBy/b2R1Y3QtY2F0YWxv/Zy1zaHAvZGVmYXVs/dC9kdzlkY2UxYWY5/L2ltYWdlcy82MzMv/MjAwMDMzNzYzM18w/MjBfUDEuSlBHP3N3/PTYwMCZzaD02MDAm/c209Zml0JnE9NTA
Cable Knit Cardigan,Women,Outerwear,Oversized cardigan with patch pockets,4290,15%,"Cozy, Layering piece",https://imgs.search.brave.com/LpcS4o1G79nSHEXtvrYjKbjIl_L_Gf4405zaFAvVNAU/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly95YWxu/ZXd5b3JrLmNvbS9p/bWFnZS9jYWNoZS9j/YXRhbG9nL0ZBTEwy/NC1PcHRpbWl6ZWQv/SzQ1NTUtT2xpdmUv/SzQ1NTUtT2xpdmUt/OC00NjB4NjQ0Lmpw/Zw
Slim Fit Dress Shirt,Men,Shirts,Non-iron cotton shirt with spread collar,2490,0%,"Wrinkle-resistant, Professional",https://imgs.search.brave.com/ZTcSHchHl8z7vP4xUuKnl_LSfO1O8EnAWpE1TaoVGqw/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NjFjOUFTSFdTY0wu/anBn
Faux Leather Moto Jacket,Women,Outerwear,Vegan leather jacket with asymmetrical zip,6490,20%,"Edgy, Cruelty-free",https://imgs.search.brave.com/dGtV2z1PWsIyxsilkl3_EfPdsyzR9wkvvtGBqBR4ct4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzFLR01CYy1JYUwu/anBn
Canvas Espadrilles,Women,Shoes,Hand-stitched espadrilles with jute wedge,3290,10%,"Summer, Comfortable, Artisanal",https://imgs.search.brave.com/IIL26OslERr_7N3WxlFj8PsN_OcN7eUytZlp15j74VA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9ib2Rl/LmNvbS9jZG4vc2hv/cC9maWxlcy9CT0RF/X0ZXMjJFQ09NX0ZM/QVRfX0NBTlZBU1NM/SVBPTkVTUEFEUklM/TEVfMzVfMzMweDQx/M19jcm9wX2NlbnRl/ckAyeC5qcGc_dj0x/NjgyNzE2NTYx
Cargo Joggers,Men,Trousers,Tech fabric pants with articulated knees and multiple pockets,3790,25%,"Functional, Modern, Streetwear",https://imgs.search.brave.com/laUXjcroQ-SCxhav5pvWOLD3cDMenjx2UKKYBT92Ooo/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9ub2Jl/cm8uY29tL2Nkbi9z/aG9wL2ZpbGVzL0Fy/Y3RpY1dvbGZDYXJn/b1BvY2tldEpvZ2dl/cnMxLndlYnA_dj0x/NzQ3ODI4ODQz
Silk Camisole,Women,Tops,Satin-finish cami with adjustable straps,1990,5%,"Luxe, Layering essential",https://imgs.search.brave.com/hUKhzHcRRy2bHqkTxOMPXnR-gXqhP8jS6c9loHxwUEA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9mYWN0/b3J5LmxpbHlzaWxr/LmNvbS9jZG4vc2hv/cC9wcm9kdWN0cy9j/YXN1YWwta25vdC1k/ZXNpZ24tc2lsay1j/YW1pc29sZS1ibGFj/ay14cy0wMS5qcGc_/dj0xNjcxNjkzNjEy/JndpZHRoPTUzMw
Nylon Duffel Bag,Men,Bags,Weekender bag with shoe compartment and trolley sleeve,5490,15%,"Travel-ready, Spacious",https://imgs.search.brave.com/OjFEIsa0lDauYnOw1bmcliJWc85lgU_Z82AybiKUGNI/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pLmV0/c3lzdGF0aWMuY29t/LzEwMTYzMzY5L2Mv/MjAwMC8xNTg5LzAv/MTM2L2lsLzJlNjdl/MS80MjU3OTM0Mzg4/L2lsXzM0MHgyNzAu/NDI1NzkzNDM4OF8y/b2pkLmpwZw
Corduroy Overshirt,Men,Outerwear,Button-up shirt jacket with corduroy texture,4790,0%,"Retro, Transitional",https://imgs.search.brave.com/c5o_EzQPvCQV6EgVjpAKC_Nn-1geeF9y_70DNWC8dYc/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9iZWFy/Ym90dG9tY2xvdGhp/bmcuY29tL2Nkbi9z/aG9wL2ZpbGVzL0Nv/cmR1cm95X1NuYXBf/T3ZlcnNoaXJ0X09h/dF9Nb2RlbF9CXzMu/cG5nP3Y9MTcyOTI1/ODEzNSZ3aWR0aD0x/MDgw
High-Neck Bodysuit,Women,Tops,Stretch cotton bodysuit with snap closure,1790,30%,"Seamless, Figure-hugging",https://imgs.search.brave.com/EE1wHmdRTRX86AKve5uMt8HZx9PxeQJJjAYOd04fAes/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/YmVjYXVzZW9mYWxp/Y2UuY29tL2Nkbi9z/aG9wL2ZpbGVzL0JP/QTIxLjExLjI0MDEy/NC5qcGc_dj0xNzM4/MTUyMTU5JndpZHRo/PTI2MDA
Suede Loafers,Men,Shoes,Penny loafers with tassel detail,5990,10%,"Smart-casual, Slip-on",https://imgs.search.brave.com/59KtU36bDon_EXCHDUoAZw6Ce8TC6LorUmqmzKIRzso/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Z3V0dGVyaWRnZS5j/b20vZHcvaW1hZ2Uv/djIvQkRKWl9QUkQv/b24vZGVtYW5kd2Fy/ZS5zdGF0aWMvLS9T/aXRlcy1jYXRhbG9n/LWd1dHRlcmlkZ2Ut/bWFzdGVyL2RlZmF1/bHQvZHc0YTIzNDUz/MS9oaS1yZXMvU0Mx/MzA0R1VZMTNfMDIx/OENfMDA0LmpwZz9z/dz0xMDAwJnNoPTEz/NTAmcT05MCZzdHJp/cD1mYWxzZQ
Wide-Leg Linen Pants,Women,Trousers,Flowy pants with elasticated waist,3490,20%,"Beach-to-dinner, Breathable",https://imgs.search.brave.com/gidTB9twViLIjxrTjysVQF7ag6UWmP020Fhb4hJEsMo/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NjFiRzlFZ2NSdUwu/anBn
Convertible Backpack,Women,Bags,Transforms from backpack to tote with detachable straps,3990,5%,"Versatile, Day-to-night",https://imgs.search.brave.com/LFce5-vShgzUjj6PMgIUmSOdfZz0_VpnzkrGYBf5PAY/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/ODFRQmNLaE5RTEwu/anBn
Thermal Long Johns,Men,Trousers,Merino wool base layer with flatlock seams,2890,15%,"Warm, Moisture-wicking",https://imgs.search.brave.com/1n1Xv1Z32CZ1DHy244uLo7kcLpjcb6TW7X3iBzhoq5Q/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pLmV0/c3lzdGF0aWMuY29t/LzM2NzEyODcwL3Iv/aWwvMTE1MDI4LzQw/ODIyODM4ODUvaWxf/MzQweDI3MC40MDgy/MjgzODg1X2U5NWQu/anBn
Embroidered Blouse,Women,Tops,Chiffon blouse with delicate floral embroidery,2790,25%,"Feminine, Dressy",https://imgs.search.brave.com/IprwgSysFRXvZ_OfUN399RXjkSoWd5xRfEQrN1_lbMk/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pLmV0/c3lzdGF0aWMuY29t/LzE4MjM5NDA1L3Iv/aWwvNWM0ZjBjLzU3/MzkwOTcyMzcvaWxf/NjAweDYwMC41NzM5/MDk3MjM3X3RvcXgu/anBn
Leather Driving Gloves,Men,Accessories,Perforated leather gloves with touchscreen compatibility,1890,0%,"Functional, Luxury",https://imgs.search.brave.com/WfnX4KlMck60nzb8BAVJyXwVwnl2Sl_VLEjXt647gOo/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9oaXBz/LmhlYXJzdGFwcHMu/Y29tL3ZhZGVyLXBy/b2QuczMuYW1hem9u/YXdzLmNvbS8xNjQy/NzE5NDM3LXNjcmVl/bi1zaG90LTIwMjIt/MDEtMjAtYXQtNC01/Ni01OC1wbS0xNjQy/NzE5NDI5LnBuZz9j/cm9wPTAuOTg3Nzg2/MjU5NTQxOTg0N3h3/OjF4aDtjZW50ZXIs/dG9wJnJlc2l6ZT05/ODA6Kg
Pleated Midi Skirt,Women,Skirts,Accordion-pleated skirt with lining,3290,10%,"Office-to-evening, Elegant",https://imgs.search.brave.com/uJvzCVHL2efSScBvaUrloR0efsx0Kp6z2kbvuwJPuwM/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzF1UzctQjJQS0wu/anBn
Trail Running Shoes,Men,Shoes,Lightweight runners with rock plate protection,7490,20%,"Performance, Grippy",https://imgs.search.brave.com/pVC4jEl8em6M5TqWj55KEFXVnGA0yZ95CW-D9fHK8Bg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zMy5h/bWF6b25hd3MuY29t/L3d3dy5pcnVuZmFy/LmNvbS93cC1jb250/ZW50L3VwbG9hZHMv/MjAyNC8wOS8yODA5/NDcwNi9CZXN0LVRy/YWlsLVJ1bm5pbmct/U2hvZXMtSG9rYS1U/b3JyZW50LTQuanBn
Felt Fedora Hat,Women,Accessories,Wool felt hat with grosgrain ribbon detail,2490,5%,"Vintage-inspired, Sun protection",https://imgs.search.brave.com/GcMcw6vxpUlDbXP9OF9sj1i7dP6J1W31kdWKiltqzOU/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGF0Y291bnRyeS5j/b20vY2RuL3Nob3Av/ZmlsZXMvaWo1NTkt/a2F0YW5nYS1pbmRp/YW4tam9uZXNfMV8x/LmpwZz9jcm9wPWNl/bnRlciZoZWlnaHQ9/MTAwMCZ2PTE3MjM2/NTA3OTYmd2lkdGg9/MTAwMA
Denim Overalls,Women,Trousers,Adjustable strap overalls with hammer loop,4990,15%,"Workwear-chic, Functional",https://imgs.search.brave.com/2--hpo1hg290clnZdiClnhef6rpKhSNvfua78WcwBIQ/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pLmV0/c3lzdGF0aWMuY29t/LzEyMDA4MDEzL3Iv/aWwvZTA3NGJkLzU5/MDU1Njk2MzUvaWxf/NjAweDYwMC41OTA1/NTY5NjM1X21tdG0u/anBn
Performance Polo,Men,Shirts,Moisture-wicking polo with UV protection,2290,30%,"Athletic, Quick-dry",https://imgs.search.brave.com/FOD9vQrBzG_I0KkxVMnvliuWc9zIvp4Ybeat9sINmeY/rs:fit:860:0:0:0/g:ce/aHR0cDovL2Jyb29r/c2Jyb3RoZXJzLmJ5/bmRlci5jb20vbWF0/Y2gvV2ViTmFtZS9E/UDAwMTQ2X05BVllf/Mi8_JHNtYWxsJA
Quilted Leather Clutch,Women,Bags,Diamond-stitched clutch with chain strap,3790,0%,"Evening, Luxe",https://imgs.search.brave.com/y6AhYcItEKGZfWo_oD5Bvfq0EhlgZlRfTufKb6PyX0s/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pLmV0/c3lzdGF0aWMuY29t/LzMyMjY4MTE3L3Iv/aWwvNTY3NzVkLzQy/OTU3NzUyMTUvaWxf/MzQweDI3MC40Mjk1/Nzc1MjE1Xzc3c2cu/anBn
Relaxed Fit Jeans,Women,Trousers,Mid-rise jeans with raw hem detail,3590,10%,"Comfortable, Trendy",https://imgs.search.brave.com/VCc480UiFC3V5KOIyBTZRLWyPRUdlnbHwmFCPHOi1G4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tb29t/ZW5uLmNvbS9jZG4v/c2hvcC9maWxlcy9E/U0NGNzU5Ny5qcGc_/dj0xNjk3NjI1MzEw/JndpZHRoPTE5NDY
Wool Blend Coat,Men,Outerwear,Single-breasted overcoat with notch lapel,9990,25%,"Timeless, Warm",https://imgs.search.brave.com/wETcGDgLfUQANgQEoKy_9OVN3cAwu0vRJGczFsAkz9U/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Z3VkcnVuc2pvZGVu/LmNvbS9zdG9yYWdl/LzNDMjVGRjY0RjNB/OUJGMzg0MDk5MzIy/ODRFMDhCMDAzOTU5/MEJDOUQzOEFCNzRD/MzJENEQ5QzU3NjNG/NEE1ODgvYTdlODNh/ODIxOWJmNGNkNGEz/OTlhMGQ4NjJjZTYy/ZWMvanBnL21lZGlh/LzJkZDA3NzgxNjQ2/ZTRmZTViODU0ZDE4/YTFkNjM0NzMyLzQ1/MTAxLTk5LTEuanBn/P2Zvcm1hdD13ZWJw/JmZpdD1jcm9wJmhl/aWdodD00ODImd2lk/dGg9MzY4
Seersucker Shorts,Men,Trousers,Summer shorts with side adjusters,2290,5%,"Cool, Wrinkle-resistant",https://imgs.search.brave.com/T8ruIbTxB93FsGGrB0tTEDk5nEXdJdvyfgF_Huoyj6c/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/ODEydURhcTA4NEwu/anBn
Tulle Midi Skirt,Women,Skirts,Layered tulle skirt with satin waistband,4290,20%,"Romantic, Special occasion",https://imgs.search.brave.com/yh3JQPyps6leyMRdftfgsJCEcfo6y3xfKZs_3iK4L1c/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pLnBp/bmltZy5jb20vb3Jp/Z2luYWxzL2Q1L2U2/LzZlL2Q1ZTY2ZTdl/NjBhZmIxZWEzZWFh/YjI3YWQ2MjhiZGQ3/LmpwZw
Compression Socks,Men,Accessories,Graduated compression for travel,1290,15%,"Medical-grade, Performance",https://imgs.search.brave.com/EPt4_bDh4NztmcUFf-RO1F-Llnn4byhCciuuvUvpg_g/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9weXhp/cy5ueW1hZy5jb20v/djEvaW1ncy8zMTYv/OTJkLzc2MDVlYjI1/MTgxN2U3OWIxNTlk/ZjQ2M2RjMGUxMzM0/ZGQtY29tcmFkLnJk/ZWVwLXZlcnRpY2Fs/LncyNDUuanBn
Cropped Hoodie,Women,Tops,Fleece-lined hoodie with kangaroo pocket,2990,10%,"Cozy, Streetwear",https://imgs.search.brave.com/Zr1Qu08JwsYk8PXKH9YjehuadG4gYke_zAU2xuJJdsM/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzFXc3YzZHdmRUwu/anBn
Waxed Canvas Briefcase,Men,Bags,Water-resistant briefcase with brass hardware,7990,0%,"Rugged, Professional",https://imgs.search.brave.com/g8Ojr2cxgv3yX2GUfUAtUWTXIi2bcQSx8OxpSgFbhgA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pLmV0/c3lzdGF0aWMuY29t/LzE1MzU5ODc2L3Iv/aWwvNGU1Y2Y4LzUw/MDQ4ODM5NDMvaWxf/NjAweDYwMC41MDA0/ODgzOTQzX2dtd3Qu/anBn
